id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,main_category,sub_category_1,sub_category_2,sub_category_3,sub_category_4,page_range,quantity_range,rating_range
184101368,Sống Sót Nơi Công Sở Everyday English - Nói Đi Ngại Gì (Tái Bản 2022),116000,169000,4.5,13,Gina Kim,112,available,Alphabooks,Bìa mềm,260,05/05/22,Sách tiếng Việt,Sách Học Ngoại Ngữ,Sách Học Tiếng Anh,Tiếng Anh giao tiếp,,1-500,0-2500,4 sao
182551495,Black Jack 10 (Bìa Cứng),74800,135000,4.7,59,Osamu Tezuka,459,available,NXB Trẻ,Bìa cứng,200,05/05/22,Sách tiếng Việt,"Truyện Tranh, Manga, Comic",,,,1-500,0-2500,4 sao
169825414,"Bộ 5 Cuốn 10 Vạn Câu Hỏi Vì Sao: Vũ Trụ Kỳ Bí, Thế Giới Thực Vật, Thế Giới Động Vật, Cơ Thể Người, Bí Ẩn Quanh Ta",400000,400000,4.8,103,Không rõ,864,available,Công ty TNHH ĐT và PT Văn hóa Việt - NS Trí Đức,Không có,Không rõ,,Sách tiếng Việt,Sách thiếu nhi,Kiến thức - Bách khoa,,,Không rõ,0-2500,4 sao
166079528,Sách - combo 9 Quyển Từ Điển Bằng Hình Đầu Tiên Của Bé Từ 0-6 tuổi - Song Ngữ Anh- Việt (Các trang đều là Bìa Cứng) vàng,181440,252000,0,0,Song Nghi,18,available,Cty Văn Hóa Việt Thư,Bìa cứng,144,,Sách tiếng Việt,Sách thiếu nhi,Kiến thức - Bách khoa,,,1-500,0-2500,0 sao
155049261,Thiền Tông Bản Hạnh,39000,39000,0,0,Thiền Sư Chân Nguyên Tuệ Đăng,10,available,Phương Nam Book,Bìa mềm,167,01/01/22,Sách tiếng Việt,Sách Tôn Giáo - Tâm Linh,Phật giáo,,,1-500,0-2500,0 sao
111582626,Tôi Nghĩ Tôi Thích Nước Mỹ - Du Ký (Dương Thụy) (Tái Bản),106200,118000,0,0,Dương Thụy,10,available,NXB Trẻ,Bìa mềm,318,07/15/21,Sách tiếng Việt,Sách văn học,Du ký,,,1-500,0-2500,0 sao
108710197,Hang Out 1 - Student Book,246000,246000,5,13,Không rõ,151,available,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Bìa mềm,120,,English Books,Education - Teaching,ELTs,,,1-500,0-2500,5 sao
87959748,451 Độ F,89100,99000,5,12,Ray Bradbury,49,available,Nhã Nam,Bìa cứng,232,04/15/21,Sách tiếng Việt,Sách văn học,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,,,1-500,0-2500,5 sao
76175426,Chiến Lược Kết Nối,169100,199000,4.3,3,Nicolaj Siggelkow,22,available,Alphabooks,Bìa cứng,288,01/01/21,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,,,1-500,0-2500,4 sao
75996779,Thần Dược Của George (Tái Bản 2021),29100,30000,5,5,Roald Dahl,38,available,NXB Kim Đồng,Bìa mềm,104,01/01/21,Sách tiếng Việt,Sách thiếu nhi,Văn học thiếu nhi,,,1-500,0-2500,5 sao
73593776,Để Tâm Không Bận,57200,65000,5,8,Ryunosuke Koike,67,available,Thái Hà,Bìa mềm,156,12/01/20,Sách tiếng Việt,Sách kỹ năng sống,Sách kỹ năng mềm,Nghệ thuật sống,,1-500,0-2500,5 sao
73222800,Nghĩ Giàu Và Làm Giàu (Khổ Nhỏ),89600,108000,4.8,105,Napoleon Hill,549,available,First News - Trí Việt,Bìa mềm,416,11/15/20,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,,,1-500,0-2500,4 sao
59362957,1493: Diện Mạo Tân Thế Giới Của Columbus,240000,320000,4.8,87,Charles C. Mann,552,available,Huy Hoàng Bookstore,Bìa mềm,810,08/01/20,Sách tiếng Việt,Sách Lịch sử,Lịch Sử Thế Giới,,,500-1000,0-2500,4 sao
58272314,Người Giàu Có Nhất Thành Babylon - Cuốn Sách Hay Nhất Mọi Thời Đại Về Cách Làm Giàu,55200,65000,5,22,George S.Clason,105,available,Nhà sách Minh Thắng,Bìa mềm,244,06/01/20,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,,,1-500,0-2500,5 sao
51215567,Đồng Tiền Hạnh Phúc,80700,95000,4.7,42,Ken Honda,329,available,Huy Hoàng Bookstore,Bìa mềm,258,03/23/20,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
49368591,Sổ Tay Kế Hoạch Cưới Cho Cặp Đôi - Sổ tay cưới - Sổ ký tên đám cưới - Sổ tay đám cưới [Kim Ngọc Thuỷ],125555,125555,4.6,291,Kim Ngọc Thủy,1952,available,NXB Đồng Nai,Bìa mềm,150,11/19/19,Sách tiếng Việt,Sách Tham Khảo,Sách chuyên đề,,,1-500,0-2500,4 sao
